Q12_OTHER_TEXT,Q13_OTHER_TEXT,Q14_OTHER_TEXT,Q14_Part_1_TEXT,Q14_Part_2_TEXT,Q14_Part_3_TEXT,Q14_Part_4_TEXT,Q14_Part_5_TEXT,Q16_OTHER_TEXT,Q17_OTHER_TEXT,Q18_OTHER_TEXT,Q19_OTHER_TEXT,Q20_OTHER_TEXT,Q21_OTHER_TEXT,Q24_OTHER_TEXT,Q25_OTHER_TEXT,Q26_OTHER_TEXT,Q27_OTHER_TEXT,Q28_OTHER_TEXT,Q29_OTHER_TEXT,Q2_OTHER_TEXT,Q30_OTHER_TEXT,Q31_OTHER_TEXT,Q32_OTHER_TEXT,Q33_OTHER_TEXT,Q34_OTHER_TEXT,Q5_OTHER_TEXT,Q9_OTHER_TEXT
,,,,,,Jupyter ,,,,,,,,,,,,,,,,,,,,,
several e-mail lists,,,,,,,AWS,,,VBA,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,CatBoost,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Spyder,,,,,,,,,,,,,,,,,,,,,
,,Datarobot ,,,,,,,,,,,,,Datarobot ,,,,,,,,Datarobot ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel.,,,,,,,,,,,,,,,,,,,,,,,Accounting Service Desk Representative,
Conference paper,,,,,,jupyter notebook with Pytorch or Tensorflow,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Local GPU workstation, Python, Jupyter",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jupyter Notebook ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tableau,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Jupyter Notebooks, VS Code for scripting",,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tableau Cognos R SAP hana,,,,,,,,,,Tableau Power Bi ,,,,,,,,,,,,,SAP hana,,
,,,,,,,Aws,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SAS is used for model building,,,,,,,,,,,,,,,,,,,,,,,
,,,"Excel, Spss",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Google App Scripts and App Maker,Google App Maker and Google Chrome Dev panel,,,,,,,,,,,,,,,,,,Developer,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter notebooks,,,,,,,,,,,,,,,,Tableau,,,,,
,,,"excel, access",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyterlab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,aws,,,,,,,,,,,,,,,,,,,,
,IIIT  Bangalore,,,,,Jupyterlab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebooks,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cloud-hosted Jupyter notebooks,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SPPS R,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SAP,,,,,,,,,,,,,,,,,,,,,,,,
,,,"excel, open office",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,R / python / excel / Microsoft BI,,,,Swift,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,aws,,,,,,,,,,,,,,,,,,,,
,,,,,,Rstudio,,,,,,,,,,,,,,,,,,,,,
Data Camp,Microsoft.com,Splunk,,,,,,,,Terraform,,Splunk,,Clustering,,,,,Splunk Cloud,,,Splunk,Splunk MLTK,,,,
,,,Google sheet we use,,,,,,,,,,,,,,,,,,,,,,,,
,Cognitive Class.ai,Watson,,,,,,,,C #,"C #, Power Pivot",Power BI,,,,,,,,,,,Watson Studio,,,,
,,,,,,python,,,,,,,,,,,,,,,,,,,,,
,,jupyter,,,,,,,,,,,,,,,,,,,,,,,,,
,Sentdex excellent Youtube channel,,,,,"Jupyter Notebooks, but on par with Colab + GCP",,,,HTML5 with CSS,,,,,Fast.ai bag'o'tricks :),,,,,,,,,,,,
,,,,,,jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter and Spyder,,,,,,,,,,,,,,,,,,,,,
,,,,,TABLEAU,,,,,,,,,,,,,,,,,,,,,,
email newsletters,,,,,,"jupyter, ipython w tmux",,,,,,,,,,,,,,,,,,,,,
,,,,,,"R / RStudio, SQL Developer ",,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyterlab,,Intellij,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"RStudei,jupyterLab",,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyterlab,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
Books,,,,SPSS,,,,,,,,,,,,,,,,,,,,,,Software Developer,
,,,,SPSS,,,,,,,,,,,,,,,,,,,,,,,
,,Python and jupyter,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,Excel ,,,,,,,,,,,,,,,,,,,,,,,,
,,"Pandas , Matlab",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tableau,,,,,,,,,SVM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science Instructor,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,Consultant,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,SAS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"rstudio, pycharm",,,,,lisp,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,IPython Jupyter,,,,,,,,,,,,,,,,,,,,Machine Learning Engineer,
,,,excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebooks,,,,C#,,,,,,,,,,,,,,,,,
,,,,,,jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Internshala,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,NPTEL,,,,,R Studio and Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Google Colab,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,jupyter notebook,,,,,,,,,,,,,,,,,,,,,,,,,
,,Power bi ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,JupyterLab,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,Go,,,,,,,,,,,,presto,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter ,,,,,,,,,,,,,,,,,,,,,
,,,,,,"pandas,seaborn and matplotlib",,,,,,,,,,,,,,,,,,,,,
,,,,,Qlik,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,Anaconda,,,,C#,,,,,,,,,,,,,,,,,
,,,,,,Rstudio. Vs code,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,,,,,,,,,,,,,,,,,,,,
,,,Microsoft excel ,,,,,,,,,,,,,,,,,,,,,,,,
,mlcourse.ai,,At school,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,dev env on cloud service,,,,,,,,,,,mxnet,,,,,,,,,
,,,,,,,Spark data frame ; we do starts locally with Jupyter,,,,,,,,,,,,,,,,,,,,
,Live  wire,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,,,,,,,,,,,,,,,,,,,,
,,,,,,jupiter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,"google colab, jupyter, spyder",,,,,,,,,,,,,,,,,,,,,
,,,,,,,Gcp aws azure,,,,,,,,,,,,,,,,,,,,
Moocs,meetups,,,,,RStudio,,xCode,,,,,,,,,,,,,IBM Cloud,IBM Analytics Engine,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Aws,,,,,,,,,,,,,,,,,,,,
,,None,,,,,,netbeans,,,,,,,,,,,,,,,,,,,
,o'reilly,,Excel + Pandas + SciPy + NumPy,,,,,,,,Octave,,,,,,,,,,,,,,,,
,,,,,,python,,,,,,,,,,,,,,,,,,,,,
,,,,,,"RStudio,Jupiterlab",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook, Telegram technical groups",,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,PhD candidate,
,,,,,,,,,,,,,,,,,,,,,,,,,,Studying at home for some reason,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"python, matlab",,,,,,,,,,,,,,,,,,,,,
,,,,Spss,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Juypter,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,Tabluea,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Weka,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Python , Deep Learning , Jupyter",,,,,,,,,,,,,,,,,,,,,
LinkedIn,,,,,,Jupyter notebooks,,,Databricks notebooks,,,,,,,,,,,,Azure HDI,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TensorFlow,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S3 + pyspark,,,,,,,,,,,,,,,,,,,,,,,,,
,,,excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,Power Bi,,,,,,,,,,,,,,,,,,,,,,
Meetups,,,,ROOT,,,,,swan.web.cern.ch,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,hobby,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,mostly Rstudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,"RStudio, Jupyter notebook",,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter note,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupiter,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,DigitalOcean,,,,,,,,,,DigitalOcean,,DigitalOcean,,,,,Schedule Analyst,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,Stepik,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,PowerBI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,Electric Engineer,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS ,,Console,,,Tensorboard,,,,,,,,,,,,,,,
,,,,Python,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, convenient to build baseline,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Retired ,
,,,,,,,AWS,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,,,PHP,,,,,,,,,,,,,,,,,
,MiriadaX,,,,,Jupyter + GCP,,Eclipse,,Golang,,,,,,,,H2O.ai,,,Google AI Platform,,,H2O.ai AutoML,DB2,,
,,Python in docker images,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Jupyter, Vscode",,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,Marketing Manager,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,spss,,,,,,,,,,,,,,,,,,,,,,,
,,Weka ,,,,,,,,C#,,,,,,,,,,,,,,,,,
,other online platforms,,"MS Excel, Google Sheets, Tally reports",,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SAS, R, SQL",,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tableau,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Jupyter, DataGrip",,DataGrip,,,,,,,,,,,,,,,,,,,
Qiita,,,,,,"R Studio, JupyterLab, VSCode",,,,"Powershell, F#, C#",,,,"SVM, GLRM",,,,,,,Azure Function,,Azure Machine Learning Service ,H2O Automl,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyterlab/terminal ,,Eclipse ,,,,,,,,,,Cv2 ,,,,,,,,,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pytorch,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,PhD student in Statistics,
,,,Excel,,,,,,,PHP,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RCommander and JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,Rstudio,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r,,,,,,,,,,,,,,,,,,,,,
,,,,spss python matlab,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tableau ,,,,,,,Tableau ,,,,,,,,,,,,,,Manager of Analytics ,
,Data Science Academy ,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,Salesforce and tableau,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyterlab,,,,,,,,,,,,,,,,,,,,,
LinkedIn,Microsoft Professional Program,,,SAS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,anaconda 3,,visual studio,Github,,,,,,,,,,,male,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter and excel,,,,,,,,,,,,,,,,,,,,,
,,,uso,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Csv,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,,,,,,,,,,,,Only those,,,,,,,,
,,,,,,Jupyter Notebook ,,,,,,,,,,,,,,,,,,,,,
,,,,,,"JupiterLab, spyder",,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Jupyter, google colab, jaggle, spyder",,,,,,,,,,,,,,,,,,,,,
,,,,,,"python, jupyter, anaconda",,,,,,,,,,,,,,,,,,,,,
,,,,spss,,,,,,Erlang/Elixir,,,,learning how to use convolutional networks,,,,,,,,I have used google BigQuery once ,,,,,
,,,,,,,Azure ,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,R; kaggle; jupyternotbook,,,,,,,,,,,,,,,,,,,,,
,,,,,,"R, Python",,,,,,,,,,,,,,,,,,,,,
,,,,,RapidMiner,,,RapidMiner,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,anaconda,,,jupyter,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Python (Conda), Jupyter, RStudio, Snowflake, Tableau, AWS, Azure, Alteryx",,,,,,Eclipse,,,,,,,,,,,,,,Snowflake,,,,,"Provide consultation on the application of ML models to industry and big data to allow clients to utilise machine learning insights, predictions and prescriptions."
,,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Google Colaboratory,,,,,,,,,,,,,,,,,,,,
,,,,,,JupiterNotebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,"RStudio, Jupyter",,,,,,,,,,,,,,,,,,,,,
,,,Colab,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,,Databricks,Ruby,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,EXASOL,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Python, Anaconda, VisualStudio, Linux",,,GBDX Notebooks,,,,,CNN,,,,,,,,,,,,,
,,,,R,,,,,,C#,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SPSS,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,python,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,C#,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,"Microsoft Excel, Google Sheets",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"pandas, numpy,scikit",,,,,,,,,,,,,,,,,,,,,
Analytics Vidhya,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,I also use Python,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Rstudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python/Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Lab,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,RapidMiner,,,,,,,,,,,,,RapidMiner,,,,,,,,Orange Data Mining,,,,
,,,"MSExcel,CSV",,,,,,,,,Panda,,,,,,,,,,,,,,,
,,,,,,Jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter notebook,,,,,,,,,,,,,,,,,,,,Scientist,
,,,,,,Jupyter is my tool,,,,,,,,,,,,,,,,,,,,,
,,,excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,oracle,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebook ,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
